source,cell,rows,cols,mux,op,corner,temp,vdd,T,mc,tclk_wlen,tclk_dec,trestore,access,low,high,wave,failed
v202_sweep,10T,4,2,1,write,TT,25.0,1.0,1e-08,1,117.5,169.7,203.9,139.2,256.7,203.9,True,
v202_sweep,10T,4,4,0,read,TT,25.0,1.0,1e-08,1,115.9,168.5,241.6,290.6,406.5,241.6,True,
v202_sweep,10T,4,4,0,write,TT,25.0,1.0,1e-08,1,118.8,171.9,215.2,127.1,245.9,215.2,True,
v202_sweep,10T,4,4,1,read,TT,25.0,1.0,1e-08,1,115.9,168.4,264.1,289.3,405.2,264.1,True,
v202_sweep,10T,4,4,1,write,TT,25.0,1.0,1e-08,1,118.8,172.0,216.1,142.7,261.5,216.1,True,
v202_sweep,10T,512,4,0,read,TT,25.0,1.0,1e-08,1,146.7,245.5,277.5,869.3,1016.0,277.5,True,
v202_sweep,10T,512,4,0,write,TT,25.0,1.0,1e-08,1,141.3,242.4,277.4,104.9,246.2,277.4,True,
v202_sweep,10T,512,4,1,read,TT,25.0,1.0,1e-08,1,142.0,242.4,275.1,861.1,1003.1,275.1,True,
v202_sweep,10T,512,4,1,write,TT,25.0,1.0,1e-08,1,141.3,242.4,275.9,105.3,246.6,275.9,True,
v202_sweep,10T,5,3,0,read,TT,25.0,1.0,1e-08,1,118.3,161.6,236.4,291.1,409.4,236.4,True,
v202_sweep,10T,5,3,0,write,TT,25.0,1.0,1e-08,1,119.9,164.6,209.3,125.3,245.2,209.3,True,
v202_sweep,10T,64,16,0,read,TT,25.0,1.0,1e-08,1,133.7,216.3,252.4,377.8,511.5,252.4,True,
v202_sweep,10T,64,16,0,write,TT,25.0,1.0,1e-08,1,143.7,223.3,256.6,104.7,248.4,256.6,True,
v202_sweep,10T,64,16,1,read,TT,25.0,1.0,1e-08,1,133.6,216.4,254.3,373.4,506.9,254.3,True,
v202_sweep,10T,64,16,1,write,TT,25.0,1.0,1e-08,1,143.6,223.3,262.6,105.6,249.2,262.6,True,
v202_sweep,10T,64,64,0,read,TT,25.0,1.0,1e-08,1,132.7,220.8,266.6,408.0,540.7,266.6,True,
v202_sweep,10T,64,64,0,write,TT,25.0,1.0,1e-08,1,153.3,241.1,284.0,119.6,272.8,284.0,True,
v202_sweep,10T,64,64,1,read,TT,25.0,1.0,1e-08,1,132.7,220.9,263.1,390.1,522.9,263.1,True,
v202_sweep,10T,64,64,1,write,TT,25.0,1.0,1e-08,1,153.3,241.1,285.5,120.2,273.4,285.5,True,
v202_sweep,10T,6,6,0,read,TT,25.0,1.0,1e-08,1,119.1,167.2,255.3,294.0,413.1,255.3,True,
v202_sweep,10T,6,6,0,write,TT,25.0,1.0,1e-08,1,122.9,170.6,228.1,130.7,253.6,228.1,True,
v202_sweep,10T,6,6,1,read,TT,25.0,1.0,1e-08,1,119.0,167.2,275.9,292.5,411.5,275.9,True,
v202_sweep,10T,6,6,1,write,TT,25.0,1.0,1e-08,1,122.9,170.7,229.5,145.6,268.5,229.5,True,
v202_sweep,10T,8,4,0,read,TT,25.0,1.0,1e-08,1,119.4,169.7,246.8,295.2,414.6,246.8,True,
v202_sweep,10T,8,4,0,write,TT,25.0,1.0,1e-08,1,122.0,171.9,218.9,131.0,253.0,218.9,True,
v202_sweep,10T,8,4,1,read,TT,25.0,1.0,1e-08,1,119.3,169.7,269.0,294.0,413.3,269.0,True,
v202_sweep,10T,8,4,1,write,TT,25.0,1.0,1e-08,1,122.0,171.9,220.7,146.0,268.0,220.7,True,
v202_sweep,10T,8,512,0,read,TT,25.0,1.0,1e-08,1,124.4,189.9,307.3,354.8,479.2,307.3,True,
v202_sweep,10T,8,512,0,write,TT,25.0,1.0,1e-08,1,287.4,348.1,429.3,197.2,484.6,429.3,True,
v202_sweep,10T,8,512,1,read,TT,25.0,1.0,1e-08,1,124.4,189.8,322.5,348.9,473.3,322.5,True,
v202_sweep,10T,8,512,1,write,TT,25.0,1.0,1e-08,1,287.3,348.1,429.7,206.3,493.7,429.7,True,
v202_sweep,10T,8,8,0,read,TT,25.0,1.0,1e-08,1,120.7,170.8,251.4,297.6,418.3,251.4,True,
v202_sweep,10T,8,8,0,write,TT,25.0,1.0,1e-08,1,127.1,174.8,224.1,135.7,262.8,224.1,True,
v202_sweep,10T,8,8,1,read,TT,25.0,1.0,1e-08,1,120.8,170.9,271.5,295.5,416.3,271.5,True,
v202_sweep,10T,8,8,1,write,TT,25.0,1.0,1e-08,1,127.1,175.6,224.0,149.7,276.8,224.0,True,
v202_sweep,6T,100,50,0,read,TT,25.0,1.0,1e-08,1,136.1,234.2,271.2,414.1,550.2,271.2,True,
v202_sweep,6T,100,50,0,write,TT,25.0,1.0,1e-08,1,153.1,249.9,284.6,109.1,262.1,284.6,True,
v202_sweep,6T,100,50,1,read,TT,25.0,1.0,1e-08,1,136.1,234.2,269.0,396.4,532.5,269.0,True,
v202_sweep,6T,100,50,1,write,TT,25.0,1.0,1e-08,1,153.1,250.0,284.3,110.0,263.0,284.3,True,
v202_sweep,6T,128,32,0,read,TT,25.0,1.0,1e-08,1,135.8,233.1,267.5,424.1,559.9,267.5,True,
v202_sweep,6T,128,32,0,write,TT,25.0,1.0,1e-08,1,149.8,243.7,277.5,104.4,254.3,277.5,True,
v202_sweep,6T,128,32,1,read,TT,25.0,1.0,1e-08,1,135.8,233.0,268.8,418.7,554.5,268.8,True,
v202_sweep,6T,128,32,1,write,TT,25.0,1.0,1e-08,1,149.8,243.7,276.2,104.9,254.7,276.2,True,
v202_sweep,6T,12,4,0,read,TT,25.0,1.0,1e-08,1,121.9,198.6,234.6,295.5,417.4,234.6,True,
v202_sweep,6T,12,4,0,write,TT,25.0,1.0,1e-08,1,124.4,201.3,216.4,89.6,213.9,216.4,True,
v202_sweep,6T,12,4,1,read,TT,25.0,1.0,1e-08,1,121.9,198.5,212.3,294.9,416.7,212.3,True,
v202_sweep,6T,12,4,1,write,TT,25.0,1.0,1e-08,1,124.3,201.3,212.2,99.6,223.9,212.2,True,
v202_sweep,6T,16,16,0,read,TT,25.0,1.0,1e-08,1,132.1,200.7,257.5,307.8,439.9,257.5,True,
v202_sweep,6T,16,16,0,write,TT,25.0,1.0,1e-08,1,140.2,208.0,247.1,94.4,234.6,247.1,True,
v202_sweep,6T,16,16,1,read,TT,25.0,1.0,1e-08,1,132.1,200.8,242.6,303.8,435.9,242.6,True,
v202_sweep,6T,16,16,1,write,TT,25.0,1.0,1e-08,1,143.8,208.0,248.0,98.9,242.7,248.0,True,
v202_sweep,6T,16,1,0,read,TT,25.0,1.0,1e-08,1,123.9,198.7,227.5,298.8,422.7,227.5,True,
v202_sweep,6T,16,1,0,write,TT,25.0,1.0,1e-08,1,124.5,199.2,213.1,70.1,194.6,213.1,True,
v202_sweep,6T,16,256,0,read,TT,25.0,1.0,1e-08,1,126.7,212.0,286.9,354.2,480.8,286.9,True,
v202_sweep,6T,16,256,0,write,TT,25.0,1.0,1e-08,1,188.8,281.8,336.6,133.2,321.9,336.6,True,
v202_sweep,6T,16,256,1,read,TT,25.0,1.0,1e-08,1,126.6,212.0,267.6,339.2,465.8,267.6,True,
v202_sweep,6T,16,256,1,write,TT,25.0,1.0,1e-08,1,188.7,281.8,334.9,138.7,327.3,334.9,True,
v202_sweep,6T,16,512,0,read,TT,25.0,1.0,1e-08,1,127.2,218.7,297.3,360.4,487.6,297.3,True,
v202_sweep,6T,16,512,0,write,TT,25.0,1.0,1e-08,1,289.6,376.7,432.1,157.6,447.2,432.1,True,
v202_sweep,6T,16,512,1,read,TT,25.0,1.0,1e-08,1,127.2,218.6,275.6,356.6,483.7,275.6,True,
v202_sweep,6T,16,512,1,write,TT,25.0,1.0,1e-08,1,290.0,376.7,428.0,159.8,449.8,428.0,True,
v202_sweep,6T,16,8,0,read,TT,25.0,1.0,1e-08,1,126.8,198.0,246.7,303.2,430.0,246.7,True,
v202_sweep,6T,16,8,0,write,TT,25.0,1.0,1e-08,1,133.8,204.1,236.7,82.8,216.6,236.7,True,
v202_sweep,6T,16,8,1,read,TT,25.0,1.0,1e-08,1,126.8,198.2,225.8,300.9,427.7,225.8,True,
v202_sweep,6T,16,8,1,write,TT,25.0,1.0,1e-08,1,133.9,204.1,232.7,88.4,222.2,232.7,True,
