Index        {U}              V(V1)             V(V2)      
368     -3.42000000e-01   -6.31387822e-02    7.81173550e-01
369     -3.41000000e-01   -6.25938238e-02    7.80735093e-01
370     -3.40000000e-01   -6.20485588e-02    7.80297936e-01
371     -3.39000000e-01   -6.15029874e-02    7.79862070e-01
372     -3.38000000e-01   -6.09571101e-02    7.79427489e-01
373     -3.37000000e-01   -6.04109272e-02    7.78994181e-01
374     -3.36000000e-01   -5.98644391e-02    7.78562141e-01
375     -3.35000000e-01   -5.93176461e-02    7.78131358e-01
376     -3.34000000e-01   -5.87705486e-02    7.77701824e-01
377     -3.33000000e-01   -5.82231470e-02    7.77273533e-01
378     -3.32000000e-01   -5.76754415e-02    7.76846475e-01
379     -3.31000000e-01   -5.71274327e-02    7.76420642e-01
380     -3.30000000e-01   -5.65791207e-02    7.75996027e-01
381     -3.29000000e-01   -5.60305061e-02    7.75572623e-01
382     -3.28000000e-01   -5.54815891e-02    7.75150421e-01
383     -3.27000000e-01   -5.49323701e-02    7.74729414e-01
384     -3.26000000e-01   -5.43828495e-02    7.74309595e-01
385     -3.25000000e-01   -5.38330276e-02    7.73890956e-01
386     -3.24000000e-01   -5.32829048e-02    7.73473491e-01
387     -3.23000000e-01   -5.27324814e-02    7.73057193e-01
388     -3.22000000e-01   -5.21817579e-02    7.72642054e-01
389     -3.21000000e-01   -5.16307345e-02    7.72228068e-01
390     -3.20000000e-01   -5.10794116e-02    7.71815229e-01
391     -3.19000000e-01   -5.05277896e-02    7.71403530e-01
392     -3.18000000e-01   -4.99758688e-02    7.70992964e-01
393     -3.17000000e-01   -4.94236496e-02    7.70583527e-01
394     -3.16000000e-01   -4.88711323e-02    7.70175210e-01
395     -3.15000000e-01   -4.83183174e-02    7.69768010e-01
396     -3.14000000e-01   -4.77652051e-02    7.69361919e-01
397     -3.13000000e-01   -4.72117958e-02    7.68956933e-01
398     -3.12000000e-01   -4.66580899e-02    7.68553046e-01
399     -3.11000000e-01   -4.61040877e-02    7.68150252e-01
400     -3.10000000e-01   -4.55497896e-02    7.67748547e-01
401     -3.09000000e-01   -4.49951959e-02    7.67347925e-01
402     -3.08000000e-01   -4.44403070e-02    7.66948381e-01
403     -3.07000000e-01   -4.38851233e-02    7.66549912e-01
404     -3.06000000e-01   -4.33296450e-02    7.66152511e-01
405     -3.05000000e-01   -4.27738726e-02    7.65756176e-01
406     -3.04000000e-01   -4.22178063e-02    7.65360900e-01
407     -3.03000000e-01   -4.16614467e-02    7.64966681e-01
408     -3.02000000e-01   -4.11047939e-02    7.64573515e-01
409     -3.01000000e-01   -4.05478484e-02    7.64181397e-01
410     -3.00000000e-01   -3.99906104e-02    7.63790323e-01
411     -2.99000000e-01   -3.94330804e-02    7.63400290e-01
412     -2.98000000e-01   -3.88752587e-02    7.63011296e-01
413     -2.97000000e-01   -3.83171457e-02    7.62623335e-01
414     -2.96000000e-01   -3.77587417e-02    7.62236406e-01
415     -2.95000000e-01   -3.72000470e-02    7.61850505e-01
416     -2.94000000e-01   -3.66410620e-02    7.61465630e-01
417     -2.93000000e-01   -3.60817870e-02    7.61081777e-01
418     -2.92000000e-01   -3.55222224e-02    7.60698944e-01
419     -2.91000000e-01   -3.49623685e-02    7.60317129e-01
420     -2.90000000e-01   -3.44022258e-02    7.59936330e-01
421     -2.89000000e-01   -3.38417944e-02    7.59556544e-01
422     -2.88000000e-01   -3.32810748e-02    7.59177769e-01
423     -2.87000000e-01   -3.27200673e-02    7.58800004e-01
424     -2.86000000e-01   -3.21587723e-02    7.58423246e-01
425     -2.85000000e-01   -3.15971900e-02    7.58047495e-01
426     -2.84000000e-01   -3.10353209e-02    7.57672748e-01
427     -2.83000000e-01   -3.04731653e-02    7.57299005e-01
428     -2.82000000e-01   -2.99107235e-02    7.56926264e-01
429     -2.81000000e-01   -2.93479958e-02    7.56554524e-01
430     -2.80000000e-01   -2.87849826e-02    7.56183785e-01
431     -2.79000000e-01   -2.82216843e-02    7.55814046e-01
432     -2.78000000e-01   -2.76581011e-02    7.55445305e-01
433     -2.77000000e-01   -2.70942335e-02    7.55077563e-01
434     -2.76000000e-01   -2.65300817e-02    7.54710819e-01
435     -2.75000000e-01   -2.59656461e-02    7.54345073e-01
436     -2.74000000e-01   -2.54009270e-02    7.53980325e-01
437     -2.73000000e-01   -2.48359247e-02    7.53616575e-01
438     -2.72000000e-01   -2.42706396e-02    7.53253823e-01
439     -2.71000000e-01   -2.37050721e-02    7.52892069e-01
440     -2.70000000e-01   -2.31392224e-02    7.52531314e-01
441     -2.69000000e-01   -2.25730909e-02    7.52171558e-01
442     -2.68000000e-01   -2.20066779e-02    7.51812802e-01
443     -2.67000000e-01   -2.14399838e-02    7.51455046e-01
444     -2.66000000e-01   -2.08730088e-02    7.51098292e-01
445     -2.65000000e-01   -2.03057534e-02    7.50742541e-01
446     -2.64000000e-01   -1.97382178e-02    7.50387793e-01
447     -2.63000000e-01   -1.91704023e-02    7.50034051e-01
448     -2.62000000e-01   -1.86023074e-02    7.49681314e-01
