Index       TIME             V(CLK)          V(CLK_BUF)        V(CLK_BAR)          V(CSB)           V(CS_BAR)           V(CS)            V(WEB)           V(WE_BAR)           V(WE)       V(GATED_CLK_BUF)  V(GATED_CLK_BAR)      V(WL_EN)           V(RWL)             V(A0)           V(A_DFF0)           V(A1)           V(A_DFF1)           V(A2)           V(A_DFF2)           V(A3)           V(A_DFF3)          V(RBL)         V(RBL_DELAY)    V(RBL_DELAY_BAR)       V(W_EN)           V(PRE)            V(S_EN)           V(WL15)           V(BL7)            V(BLB7)      V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:Q) V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:QB)     V(SA_Q7)          V(SA_QB7)          V(OUT)      
20       2.00000000e-10    0.00000000e+00    2.83766649e-05    9.99996014e-01    1.00000000e+00    9.99995734e-01    1.48869033e-05    0.00000000e+00    9.99995417e-01    1.66189958e-05    1.02807310e-05    1.20797325e-05    2.30755694e-05    1.02538763e-05    0.00000000e+00    2.23140451e-05    0.00000000e+00    2.24250910e-05    0.00000000e+00    2.31001212e-05    0.00000000e+00    1.56949928e-05    3.14747726e-04    9.99990931e-01    9.65659742e-06    9.65583205e-06    9.99995126e-01    4.69932121e-05    1.29244243e-05    4.05639214e-04    9.99987972e-01    4.58189552e-06    9.99986799e-01    8.81900390e-04    9.99991069e-01    2.37759920e-05
21       2.10000000e-10    0.00000000e+00    2.87318661e-05    9.99995979e-01    1.00000000e+00    9.99995708e-01    1.49001840e-05    0.00000000e+00    9.99995416e-01    1.65718051e-05    1.02789679e-05    1.20691749e-05    2.30755605e-05    1.02536691e-05    0.00000000e+00    2.24307610e-05    0.00000000e+00    2.25428788e-05    0.00000000e+00    2.32171909e-05    0.00000000e+00    1.57799792e-05    3.30305780e-04    9.99990931e-01    9.71996029e-06    9.65468141e-06    9.99995126e-01    4.69882451e-05    1.29233672e-05    4.25644553e-04    9.99987973e-01    4.58269854e-06    9.99986799e-01    9.25802611e-04    9.99991070e-01    2.37759916e-05
22       2.20000000e-10    0.00000000e+00    2.90870674e-05    9.99995945e-01    1.00000000e+00    9.99995682e-01    1.49134647e-05    0.00000000e+00    9.99995415e-01    1.65246143e-05    1.02772048e-05    1.20586174e-05    2.30755516e-05    1.02534620e-05    0.00000000e+00    2.25474768e-05    0.00000000e+00    2.26606667e-05    0.00000000e+00    2.33342607e-05    0.00000000e+00    1.58649656e-05    3.45863834e-04    9.99990932e-01    9.78332315e-06    9.65353076e-06    9.99995125e-01    4.69832782e-05    1.29223101e-05    4.45649893e-04    9.99987974e-01    4.58350157e-06    9.99986799e-01    9.69704832e-04    9.99991071e-01    2.37759912e-05
23       2.30000000e-10    0.00000000e+00    2.94422687e-05    9.99995911e-01    1.00000000e+00    9.99995656e-01    1.49267454e-05    0.00000000e+00    9.99995413e-01    1.64774235e-05    1.02754416e-05    1.20480598e-05    2.30755428e-05    1.02532548e-05    0.00000000e+00    2.26641927e-05    0.00000000e+00    2.27784545e-05    0.00000000e+00    2.34513304e-05    0.00000000e+00    1.59499519e-05    3.61421888e-04    9.99990933e-01    9.84668602e-06    9.65238012e-06    9.99995124e-01    4.69783112e-05    1.29212530e-05    4.65655232e-04    9.99987975e-01    4.58430460e-06    9.99986799e-01    1.01360705e-03    9.99991072e-01    2.37759908e-05
24       2.40000000e-10    0.00000000e+00    2.97974700e-05    9.99995877e-01    1.00000000e+00    9.99995630e-01    1.49400261e-05    0.00000000e+00    9.99995412e-01    1.64302328e-05    1.02736785e-05    1.20375023e-05    2.30755339e-05    1.02530476e-05    0.00000000e+00    2.27809085e-05    0.00000000e+00    2.28962424e-05    0.00000000e+00    2.35684002e-05    0.00000000e+00    1.60349383e-05    3.76979942e-04    9.99990934e-01    9.91004888e-06    9.65122948e-06    9.99995123e-01    4.69733443e-05    1.29201959e-05    4.85660572e-04    9.99987976e-01    4.58510763e-06    9.99986799e-01    1.05750927e-03    9.99991073e-01    2.37759904e-05
25       2.50000000e-10    0.00000000e+00    2.97984774e-05    9.99995877e-01    1.00000000e+00    9.99995634e-01    1.49385259e-05    0.00000000e+00    9.99995412e-01    1.63912074e-05    1.02743338e-05    1.20293668e-05    2.30755362e-05    1.02528414e-05    0.00000000e+00    2.27953530e-05    0.00000000e+00    2.29104216e-05    0.00000000e+00    2.35826302e-05    0.00000000e+00    1.60396925e-05    3.92499234e-04    9.99990934e-01    9.96881007e-06    9.65141433e-06    9.99995123e-01    4.69669454e-05    1.29191510e-05    5.05620513e-04    9.99987978e-01    4.58591037e-06    9.99986799e-01    1.10136856e-03    9.99991074e-01    2.37759909e-05
26       2.60000000e-10    0.00000000e+00    2.95636801e-05    9.99995900e-01    1.00000000e+00    9.99995659e-01    1.49271853e-05    0.00000000e+00    9.99995414e-01    1.63576181e-05    1.02765991e-05    1.20228437e-05    2.30755458e-05    1.02526358e-05    0.00000000e+00    2.27417104e-05    0.00000000e+00    2.28556232e-05    0.00000000e+00    2.35283946e-05    0.00000000e+00    1.59910320e-05    4.07992719e-04    9.99990935e-01    1.00245077e-05    9.65248829e-06    9.99995122e-01    4.69595932e-05    1.29181140e-05    5.25550229e-04    9.99987979e-01    4.58671291e-06    9.99986799e-01    1.14519926e-03    9.99991076e-01    2.37759918e-05
27       2.70000000e-10    0.00000000e+00    2.93288827e-05    9.99995922e-01    1.00000000e+00    9.99995683e-01    1.49158447e-05    0.00000000e+00    9.99995415e-01    1.63240288e-05    1.02788645e-05    1.20163207e-05    2.30755555e-05    1.02524302e-05    0.00000000e+00    2.26880677e-05    0.00000000e+00    2.28008249e-05    0.00000000e+00    2.34741591e-05    0.00000000e+00    1.59423715e-05    4.23486205e-04    9.99990936e-01    1.00802053e-05    9.65356225e-06    9.99995121e-01    4.69522410e-05    1.29170771e-05    5.45479945e-04    9.99987980e-01    4.58751546e-06    9.99986799e-01    1.18902996e-03    9.99991077e-01    2.37759928e-05
28       2.80000000e-10    0.00000000e+00    2.90940854e-05    9.99995945e-01    1.00000000e+00    9.99995708e-01    1.49045041e-05    0.00000000e+00    9.99995417e-01    1.62904396e-05    1.02811298e-05    1.20097976e-05    2.30755652e-05    1.02522246e-05    0.00000000e+00    2.26344251e-05    0.00000000e+00    2.27460266e-05    0.00000000e+00    2.34199235e-05    0.00000000e+00    1.58937110e-05    4.38979691e-04    9.99990937e-01    1.01359029e-05    9.65463621e-06    9.99995120e-01    4.69448888e-05    1.29160402e-05    5.65409662e-04    9.99987982e-01    4.58831801e-06    9.99986799e-01    1.23286066e-03    9.99991078e-01    2.37759938e-05
29       2.90000000e-10    0.00000000e+00    2.88592880e-05    9.99995967e-01    1.00000000e+00    9.99995732e-01    1.48931634e-05    0.00000000e+00    9.99995418e-01    1.62568503e-05    1.02833952e-05    1.20032746e-05    2.30755749e-05    1.02520189e-05    0.00000000e+00    2.25807824e-05    0.00000000e+00    2.26912283e-05    0.00000000e+00    2.33656879e-05    0.00000000e+00    1.58450505e-05    4.54473177e-04    9.99990938e-01    1.01916005e-05    9.65571016e-06    9.99995120e-01    4.69375366e-05    1.29150033e-05    5.85339378e-04    9.99987983e-01    4.58912055e-06    9.99986799e-01    1.27669137e-03    9.99991079e-01    2.37759948e-05
30       3.00000000e-10    0.00000000e+00    2.88605796e-05    9.99995968e-01    1.00000000e+00    9.99995728e-01    1.48947914e-05    0.00000000e+00    9.99995418e-01    1.62225637e-05    1.02828037e-05    1.19959552e-05    2.30755724e-05    1.02518142e-05    0.00000000e+00    2.25734433e-05    0.00000000e+00    2.26839088e-05    0.00000000e+00    2.33583433e-05    0.00000000e+00    1.58420466e-05    4.69928130e-04    9.99990939e-01    1.02434759e-05    9.65553931e-06    9.99995119e-01    4.69305860e-05    1.29139623e-05    6.05224147e-04    9.99987984e-01    4.58991755e-06    9.99986799e-01    1.32047943e-03    9.99991080e-01    2.37759946e-05
31       3.10000000e-10    0.00000000e+00    2.90190475e-05    9.99995953e-01    1.00000000e+00    9.99995705e-01    1.49050533e-05    0.00000000e+00    9.99995417e-01    1.61878129e-05    1.02803102e-05    1.19881056e-05    2.30755619e-05    1.02516100e-05    0.00000000e+00    2.25969308e-05    0.00000000e+00    2.27081983e-05    0.00000000e+00    2.33822163e-05    0.00000000e+00    1.58694386e-05    4.85357430e-04    9.99990939e-01    1.02928067e-05    9.65453971e-06    9.99995118e-01    4.69239026e-05    1.29129185e-05    6.25078992e-04    9.99987986e-01    4.59071085e-06    9.99986799e-01    1.36423910e-03    9.99991082e-01    2.37759936e-05
32       3.20000000e-10    0.00000000e+00    2.91775155e-05    9.99995938e-01    1.00000000e+00    9.99995682e-01    1.49153151e-05    0.00000000e+00    9.99995415e-01    1.61530621e-05    1.02778168e-05    1.19802560e-05    2.30755514e-05    1.02514059e-05    0.00000000e+00    2.26204183e-05    0.00000000e+00    2.27324879e-05    0.00000000e+00    2.34060893e-05    0.00000000e+00    1.58968306e-05    5.00786730e-04    9.99990940e-01    1.03421375e-05    9.65354012e-06    9.99995117e-01    4.69172192e-05    1.29118748e-05    6.44933837e-04    9.99987987e-01    4.59150415e-06    9.99986799e-01    1.40799877e-03    9.99991083e-01    2.37759926e-05
33       3.30000000e-10    0.00000000e+00    2.93359834e-05    9.99995923e-01    1.00000000e+00    9.99995659e-01    1.49255770e-05    0.00000000e+00    9.99995414e-01    1.61183113e-05    1.02753234e-05    1.19724064e-05    2.30755408e-05    1.02512017e-05    0.00000000e+00    2.26439058e-05    0.00000000e+00    2.27567775e-05    0.00000000e+00    2.34299623e-05    0.00000000e+00    1.59242225e-05    5.16216031e-04    9.99990941e-01    1.03914683e-05    9.65254052e-06    9.99995117e-01    4.69105359e-05    1.29108310e-05    6.64788682e-04    9.99987988e-01    4.59229745e-06    9.99986799e-01    1.45175844e-03    9.99991084e-01    2.37759916e-05
34       3.40000000e-10    0.00000000e+00    2.94944513e-05    9.99995908e-01    1.00000000e+00    9.99995636e-01    1.49358388e-05    0.00000000e+00    9.99995412e-01    1.60835605e-05    1.02728300e-05    1.19645568e-05    2.30755303e-05    1.02509976e-05    0.00000000e+00    2.26673933e-05    0.00000000e+00    2.27810670e-05    0.00000000e+00    2.34538354e-05    0.00000000e+00    1.59516145e-05    5.31645331e-04    9.99990942e-01    1.04407991e-05    9.65154093e-06    9.99995116e-01    4.69038525e-05    1.29097873e-05    6.84643527e-04    9.99987989e-01    4.59309075e-06    9.99986799e-01    1.49551811e-03    9.99991085e-01    2.37759906e-05
35       3.50000000e-10    0.00000000e+00    2.94914513e-05    9.99995908e-01    1.00000000e+00    9.99995639e-01    1.49341334e-05    0.00000000e+00    9.99995413e-01    1.60532736e-05    1.02733640e-05    1.19582954e-05    2.30755327e-05    1.02507938e-05    0.00000000e+00    2.26712018e-05    0.00000000e+00    2.27849333e-05    0.00000000e+00    2.34577142e-05    0.00000000e+00    1.59535987e-05    5.47036325e-04    9.99990942e-01    1.04869821e-05    9.65170323e-06    9.99995115e-01    4.68970933e-05    1.29087551e-05    7.04453649e-04    9.99987991e-01    4.59388347e-06    9.99986799e-01    1.53923528e-03    9.99991086e-01    2.37759908e-05
36       3.60000000e-10    0.00000000e+00    2.93809541e-05    9.99995918e-01    1.00000000e+00    9.99995661e-01    1.49244607e-05    0.00000000e+00    9.99995414e-01    1.60259586e-05    1.02759136e-05    1.19530915e-05    2.30755438e-05    1.02505903e-05    0.00000000e+00    2.26619089e-05    0.00000000e+00    2.27752028e-05    0.00000000e+00    2.34482820e-05    0.00000000e+00    1.59386675e-05    5.62401817e-04    9.99990943e-01    1.05310695e-05    9.65263905e-06    9.99995114e-01    4.68902835e-05    1.29077306e-05    7.24233997e-04    9.99987992e-01    4.59467582e-06    9.99986799e-01    1.58292415e-03    9.99991088e-01    2.37759917e-05
37       3.70000000e-10    0.00000000e+00    2.92704569e-05    9.99995927e-01    1.00000000e+00    9.99995683e-01    1.49147880e-05    0.00000000e+00    9.99995415e-01    1.59986436e-05    1.02784632e-05    1.19478875e-05    2.30755548e-05    1.02503868e-05    0.00000000e+00    2.26526160e-05    0.00000000e+00    2.27654723e-05    0.00000000e+00    2.34388498e-05    0.00000000e+00    1.59237363e-05    5.77767310e-04    9.99990944e-01    1.05751568e-05    9.65357488e-06    9.99995114e-01    4.68834738e-05    1.29067062e-05    7.44014345e-04    9.99987993e-01    4.59546817e-06    9.99986799e-01    1.62661301e-03    9.99991089e-01    2.37759926e-05
38       3.80000000e-10    0.00000000e+00    2.91599597e-05    9.99995937e-01    1.00000000e+00    9.99995705e-01    1.49051153e-05    0.00000000e+00    9.99995417e-01    1.59713286e-05    1.02810128e-05    1.19426835e-05    2.30755659e-05    1.02501832e-05    0.00000000e+00    2.26433231e-05    0.00000000e+00    2.27557418e-05    0.00000000e+00    2.34294176e-05    0.00000000e+00    1.59088052e-05    5.93132802e-04    9.99990945e-01    1.06192442e-05    9.65451071e-06    9.99995113e-01    4.68766640e-05    1.29056817e-05    7.63794693e-04    9.99987994e-01    4.59626052e-06    9.99986799e-01    1.67030188e-03    9.99991090e-01    2.37759935e-05
