Index        {U}              V(V1)             V(V2)      
207     -5.03000000e-01    9.07458994e-01    8.55625781e-01
208     -5.02000000e-01    9.08337264e-01    8.54943312e-01
209     -5.01000000e-01    9.09212041e-01    8.54262385e-01
210     -5.00000000e-01    9.10083244e-01    8.53583007e-01
211     -4.99000000e-01    9.10950793e-01    8.52905188e-01
212     -4.98000000e-01    9.11814608e-01    8.52228934e-01
213     -4.97000000e-01    9.12674607e-01    8.51554254e-01
214     -4.96000000e-01    9.13530707e-01    8.50881156e-01
215     -4.95000000e-01    9.14382825e-01    8.50209648e-01
216     -4.94000000e-01    9.15230877e-01    8.49539738e-01
217     -4.93000000e-01    9.16074778e-01    8.48871433e-01
218     -4.92000000e-01    9.16914444e-01    8.48204742e-01
219     -4.91000000e-01    9.17749789e-01    8.47539673e-01
220     -4.90000000e-01    9.18580727e-01    8.46876233e-01
221     -4.89000000e-01    9.19407172e-01    8.46214430e-01
222     -4.88000000e-01    9.20229037e-01    8.45554273e-01
223     -4.87000000e-01    9.21046234e-01    8.44895769e-01
224     -4.86000000e-01    9.21858677e-01    8.44238925e-01
225     -4.85000000e-01    9.22666279e-01    8.43583750e-01
226     -4.84000000e-01    9.23468951e-01    8.42930251e-01
227     -4.83000000e-01    9.24266606e-01    8.42278436e-01
228     -4.82000000e-01    9.25059156e-01    8.41628312e-01
229     -4.81000000e-01    9.25846514e-01    8.40979887e-01
230     -4.80000000e-01    9.26628593e-01    8.40333168e-01
231     -4.79000000e-01    9.27405306e-01    8.39688162e-01
232     -4.78000000e-01    9.28176565e-01    8.39044878e-01
233     -4.77000000e-01    9.28942284e-01    8.38403322e-01
234     -4.76000000e-01    9.29702376e-01    8.37763501e-01
235     -4.75000000e-01    9.30456757e-01    8.37125423e-01
236     -4.74000000e-01    9.31205341e-01    8.36489094e-01
237     -4.73000000e-01    9.31948043e-01    8.35854522e-01
238     -4.72000000e-01    9.32684780e-01    8.35221713e-01
239     -4.71000000e-01    9.33415468e-01    8.34590675e-01
240     -4.70000000e-01    9.34140025e-01    8.33961413e-01
241     -4.69000000e-01    9.34858370e-01    8.33333934e-01
242     -4.68000000e-01    9.35570421e-01    8.32708245e-01
243     -4.67000000e-01    9.36276100e-01    8.32084353e-01
244     -4.66000000e-01    9.36975327e-01    8.31462262e-01
245     -4.65000000e-01    9.37668026e-01    8.30841981e-01
246     -4.64000000e-01    9.38354119e-01    8.30223513e-01
247     -4.63000000e-01    9.39033531e-01    8.29606867e-01
248     -4.62000000e-01    9.39706189e-01    8.28992046e-01
249     -4.61000000e-01    9.40372020e-01    8.28379057e-01
250     -4.60000000e-01    9.41030953e-01    8.27767905e-01
251     -4.59000000e-01    9.41682917e-01    8.27158596e-01
252     -4.58000000e-01    9.42327844e-01    8.26551134e-01
253     -4.57000000e-01    9.42965667e-01    8.25945525e-01
254     -4.56000000e-01    9.43596320e-01    8.25341774e-01
255     -4.55000000e-01    9.44219740e-01    8.24739885e-01
256     -4.54000000e-01    9.44835864e-01    8.24139862e-01
257     -4.53000000e-01    9.45444631e-01    8.23541711e-01
258     -4.52000000e-01    9.46045998e-01    8.22945435e-01
259     -4.51000000e-01    9.46639947e-01    8.22351039e-01
260     -4.50000000e-01    9.47226425e-01    8.21758526e-01
261     -4.49000000e-01    9.47805380e-01    8.21167899e-01
262     -4.48000000e-01    9.48376763e-01    8.20579163e-01
263     -4.47000000e-01    9.48940522e-01    8.19992320e-01
264     -4.46000000e-01    9.49496612e-01    8.19407374e-01
265     -4.45000000e-01    9.50044987e-01    8.18824327e-01
266     -4.44000000e-01    9.50585602e-01    8.18243182e-01
267     -4.43000000e-01    9.51118416e-01    8.17663941e-01
268     -4.42000000e-01    9.51643387e-01    8.17086607e-01
269     -4.41000000e-01    9.52160477e-01    8.16511181e-01
270     -4.40000000e-01    9.52669649e-01    8.15937666e-01
271     -4.39000000e-01    9.53170866e-01    8.15366063e-01
272     -4.38000000e-01    9.53664094e-01    8.14796373e-01
273     -4.37000000e-01    9.54149301e-01    8.14228597e-01
274     -4.36000000e-01    9.54626457e-01    8.13662736e-01
275     -4.35000000e-01    9.55095531e-01    8.13098791e-01
276     -4.34000000e-01    9.55556497e-01    8.12536763e-01
277     -4.33000000e-01    9.56009327e-01    8.11976650e-01
278     -4.32000000e-01    9.56453998e-01    8.11418453e-01
279     -4.31000000e-01    9.56890486e-01    8.10862172e-01
280     -4.30000000e-01    9.57318769e-01    8.10307806e-01
281     -4.29000000e-01    9.57738827e-01    8.09755355e-01
282     -4.28000000e-01    9.58150641e-01    8.09204816e-01
283     -4.27000000e-01    9.58554194e-01    8.08656190e-01
284     -4.26000000e-01    9.58949469e-01    8.08109473e-01
285     -4.25000000e-01    9.59336453e-01    8.07564665e-01
286     -4.24000000e-01    9.59715131e-01    8.07021764e-01
287     -4.23000000e-01    9.60085492e-01    8.06480766e-01
288     -4.22000000e-01    9.60447523e-01    8.05941669e-01
289     -4.21000000e-01    9.60801217e-01    8.05404471e-01
290     -4.20000000e-01    9.61146564e-01    8.04869168e-01
291     -4.19000000e-01    9.61483558e-01    8.04335758e-01
292     -4.18000000e-01    9.61812191e-01    8.03804235e-01
293     -4.17000000e-01    9.62132459e-01    8.03274598e-01
294     -4.16000000e-01    9.62444357e-01    8.02746841e-01
295     -4.15000000e-01    9.62747884e-01    8.02220960e-01
296     -4.14000000e-01    9.63043037e-01    8.01696951e-01
297     -4.13000000e-01    9.63329814e-01    8.01174808e-01
298     -4.12000000e-01    9.63608217e-01    8.00654528e-01
299     -4.11000000e-01    9.63878246e-01    8.00136104e-01
300     -4.10000000e-01    9.64139903e-01    7.99619532e-01
301     -4.09000000e-01    9.64393190e-01    7.99104805e-01
302     -4.08000000e-01    9.64638111e-01    7.98591917e-01
303     -4.07000000e-01    9.64874671e-01    7.98080863e-01
304     -4.06000000e-01    9.65102875e-01    7.97571636e-01
305     -4.05000000e-01    9.65322728e-01    7.97064230e-01
306     -4.04000000e-01    9.65534238e-01    7.96558638e-01
307     -4.03000000e-01    9.65737411e-01    7.96054853e-01
308     -4.02000000e-01    9.65932256e-01    7.95552867e-01
309     -4.01000000e-01    9.66118781e-01    7.95052674e-01
310     -4.00000000e-01    9.66296997e-01    7.94554267e-01
311     -3.99000000e-01    9.66466912e-01    7.94057637e-01
312     -3.98000000e-01    9.66628538e-01    7.93562776e-01
313     -3.97000000e-01    9.66781886e-01    7.93069678e-01
314     -3.96000000e-01    9.66926967e-01    7.92578332e-01
315     -3.95000000e-01    9.67063794e-01    7.92088733e-01
316     -3.94000000e-01    9.67192379e-01    7.91600870e-01
317     -3.93000000e-01    9.67312736e-01    7.91114736e-01
318     -3.92000000e-01    9.67424879e-01    7.90630321e-01
319     -3.91000000e-01    9.67528821e-01    7.90147618e-01
320     -3.90000000e-01    9.67624579e-01    7.89666617e-01
321     -3.89000000e-01    9.67712165e-01    7.89187309e-01
322     -3.88000000e-01    9.67791597e-01    7.88709685e-01
323     -3.87000000e-01    9.67862890e-01    7.88233735e-01
324     -3.86000000e-01    9.67926061e-01    7.87759452e-01
325     -3.85000000e-01    9.67981125e-01    7.87286824e-01
326     -3.84000000e-01    9.68028101e-01    7.86815844e-01
327     -3.83000000e-01    9.68067005e-01    7.86346501e-01
328     -3.82000000e-01    9.68097856e-01    7.85878786e-01
329     -3.81000000e-01    9.68120670e-01    7.85412689e-01
330     -3.80000000e-01    9.68135468e-01    7.84948200e-01
331     -3.79000000e-01    9.68142267e-01    7.84485311e-01
332     -3.78000000e-01    9.68141086e-01    7.84024011e-01
333     -3.77000000e-01    9.68131945e-01    7.83564290e-01
334     -3.76000000e-01    9.68114863e-01    7.83106140e-01
335     -3.75000000e-01    9.68089860e-01    7.82649549e-01
336     -3.74000000e-01    9.68056956e-01    7.82194509e-01
337     -3.73000000e-01    9.68016171e-01    7.81741010e-01
338     -3.72000000e-01    9.67967526e-01    7.81289042e-01
339     -3.71000000e-01    9.67911041e-01    7.80838595e-01
340     -3.70000000e-01    9.67846738e-01    7.80389660e-01
