Index       TIME             V(CLK)          V(CLK_BUF)        V(CLK_BAR)          V(CSB)           V(CS_BAR)           V(CS)            V(WEB)           V(WE_BAR)           V(WE)       V(GATED_CLK_BUF)  V(GATED_CLK_BAR)      V(WL_EN)           V(RWL)             V(A0)           V(A_DFF0)           V(A1)           V(A_DFF1)           V(A2)           V(A_DFF2)           V(A3)           V(A_DFF3)          V(RBL)         V(RBL_DELAY)    V(RBL_DELAY_BAR)       V(W_EN)           V(PRE)            V(S_EN)           V(WL15)           V(BL7)            V(BLB7)      V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:Q) V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:QB)     V(SA_Q7)          V(SA_QB7)          V(DIN0)         V(DIN_DFF0)         V(OUT)      
20       2.00000000e-10    0.00000000e+00    6.41892847e-05    9.99999309e-01    1.00000000e+00    9.99997624e-01    1.19038006e-05    1.00000000e+00    9.99997372e-01    1.20788508e-05    6.29448452e-06    7.58522464e-06    1.78131882e-05    5.90777240e-06    0.00000000e+00    1.86945173e-05    0.00000000e+00    1.88069034e-05    0.00000000e+00    1.94907224e-05    0.00000000e+00    1.25697596e-05    2.12459778e-04    9.99993597e-01    6.65137310e-06    1.61397240e-05    9.99996438e-01    3.44216031e-05    8.10842436e-06    2.21021682e-04    9.99990951e-01    3.14141139e-06    9.99992574e-01    5.46431503e-04    9.99993516e-01    0.00000000e+00    9.91066501e-06    1.51088883e-05
21       2.10000000e-10    0.00000000e+00    5.94394719e-05    9.99998163e-01    1.00000000e+00    9.99997592e-01    1.15871140e-05    1.00000000e+00    9.99997367e-01    1.20375797e-05    6.10823384e-06    7.53981857e-06    1.78129784e-05    5.90775483e-06    0.00000000e+00    1.85931830e-05    0.00000000e+00    1.87033823e-05    0.00000000e+00    1.93841575e-05    0.00000000e+00    1.24328222e-05    2.23025081e-04    9.99993594e-01    6.67450555e-06    1.61338048e-05    9.99996438e-01    3.44173103e-05    8.10814648e-06    2.31984151e-04    9.99990951e-01    3.14163377e-06    9.99992574e-01    5.73697847e-04    9.99993516e-01    0.00000000e+00    9.68792644e-06    1.51089101e-05
22       2.20000000e-10    0.00000000e+00    5.46896591e-05    9.99997017e-01    1.00000000e+00    9.99997560e-01    1.12704274e-05    1.00000000e+00    9.99997362e-01    1.19963087e-05    5.92198316e-06    7.49441250e-06    1.78127687e-05    5.90773725e-06    0.00000000e+00    1.84918488e-05    0.00000000e+00    1.85998612e-05    0.00000000e+00    1.92775927e-05    0.00000000e+00    1.22958848e-05    2.33590384e-04    9.99993591e-01    6.69763799e-06    1.61278855e-05    9.99996437e-01    3.44130175e-05    8.10786861e-06    2.42946621e-04    9.99990952e-01    3.14185615e-06    9.99992574e-01    6.00964192e-04    9.99993516e-01    0.00000000e+00    9.46518787e-06    1.51089319e-05
23       2.30000000e-10    0.00000000e+00    4.99398463e-05    9.99995871e-01    1.00000000e+00    9.99997528e-01    1.09537408e-05    1.00000000e+00    9.99997357e-01    1.19550377e-05    5.73573247e-06    7.44900644e-06    1.78125589e-05    5.90771968e-06    0.00000000e+00    1.83905145e-05    0.00000000e+00    1.84963402e-05    0.00000000e+00    1.91710279e-05    0.00000000e+00    1.21589475e-05    2.44155686e-04    9.99993588e-01    6.72077043e-06    1.61219663e-05    9.99996437e-01    3.44087247e-05    8.10759074e-06    2.53909090e-04    9.99990952e-01    3.14207854e-06    9.99992574e-01    6.28230536e-04    9.99993516e-01    0.00000000e+00    9.24244930e-06    1.51089537e-05
24       2.40000000e-10    0.00000000e+00    4.56543947e-05    9.99994901e-01    1.00000000e+00    9.99997502e-01    1.06846968e-05    1.00000000e+00    9.99997353e-01    1.19176935e-05    5.57783628e-06    7.41005784e-06    1.78123829e-05    5.90769557e-06    0.00000000e+00    1.83030574e-05    0.00000000e+00    1.84070616e-05    0.00000000e+00    1.90791648e-05    0.00000000e+00    1.20417010e-05    2.54719498e-04    9.99993585e-01    6.74389812e-06    1.61169660e-05    9.99996436e-01    3.44047016e-05    8.10731906e-06    2.64870324e-04    9.99990952e-01    3.14229538e-06    9.99992574e-01    6.55495041e-04    9.99993516e-01    0.00000000e+00    9.05246221e-06    1.51089723e-05
25       2.50000000e-10    0.00000000e+00    4.68420961e-05    9.99996015e-01    1.00000000e+00    9.99997541e-01    1.09771871e-05    1.00000000e+00    9.99997359e-01    1.19266331e-05    5.75413777e-06    7.44721963e-06    1.78126052e-05    5.90759443e-06    0.00000000e+00    1.83791630e-05    0.00000000e+00    1.84856507e-05    0.00000000e+00    1.91605819e-05    0.00000000e+00    1.21565397e-05    2.65265741e-04    9.99993589e-01    6.76696976e-06    1.61227972e-05    9.99996436e-01    3.44038579e-05    8.10712030e-06    2.75816991e-04    9.99990953e-01    3.14244692e-06    9.99992574e-01    6.82737861e-04    9.99993517e-01    0.00000000e+00    9.24849755e-06    1.51089524e-05
26       2.60000000e-10    0.00000000e+00    4.80297974e-05    9.99997128e-01    1.00000000e+00    9.99997580e-01    1.12696775e-05    1.00000000e+00    9.99997364e-01    1.19355727e-05    5.93043926e-06    7.48438143e-06    1.78128275e-05    5.90749330e-06    0.00000000e+00    1.84552685e-05    0.00000000e+00    1.85642399e-05    0.00000000e+00    1.92419991e-05    0.00000000e+00    1.22713785e-05    2.75811984e-04    9.99993592e-01    6.79004140e-06    1.61286284e-05    9.99996437e-01    3.44030142e-05    8.10692155e-06    2.86763658e-04    9.99990954e-01    3.14259846e-06    9.99992574e-01    7.09980681e-04    9.99993518e-01    0.00000000e+00    9.44453289e-06    1.51089326e-05
27       2.70000000e-10    0.00000000e+00    4.92174988e-05    9.99998241e-01    1.00000000e+00    9.99997619e-01    1.15621679e-05    1.00000000e+00    9.99997369e-01    1.19445123e-05    6.10674076e-06    7.52154322e-06    1.78130497e-05    5.90739216e-06    0.00000000e+00    1.85313741e-05    0.00000000e+00    1.86428291e-05    0.00000000e+00    1.93234162e-05    0.00000000e+00    1.23862173e-05    2.86358227e-04    9.99993596e-01    6.81311304e-06    1.61344596e-05    9.99996437e-01    3.44021706e-05    8.10672280e-06    2.97710326e-04    9.99990954e-01    3.14275000e-06    9.99992574e-01    7.37223501e-04    9.99993519e-01    0.00000000e+00    9.64056822e-06    1.51089128e-05
28       2.80000000e-10    0.00000000e+00    5.04052001e-05    9.99999355e-01    1.00000000e+00    9.99997658e-01    1.18546582e-05    1.00000000e+00    9.99997375e-01    1.19534518e-05    6.28304225e-06    7.55870501e-06    1.78132720e-05    5.90729103e-06    0.00000000e+00    1.86074796e-05    0.00000000e+00    1.87214183e-05    0.00000000e+00    1.94048333e-05    0.00000000e+00    1.25010560e-05    2.96904469e-04    9.99993599e-01    6.83618468e-06    1.61402908e-05    9.99996437e-01    3.44013269e-05    8.10652405e-06    3.08656993e-04    9.99990955e-01    3.14290154e-06    9.99992574e-01    7.64466321e-04    9.99993519e-01    0.00000000e+00    9.83660356e-06    1.51088929e-05
29       2.90000000e-10    0.00000000e+00    5.14357025e-05    1.00000030e+00    1.00000000e+00    9.99997690e-01    1.21032573e-05    1.00000000e+00    9.99997379e-01    1.19588813e-05    6.43247470e-06    7.58969465e-06    1.78134588e-05    5.90719568e-06    0.00000000e+00    1.86724855e-05    0.00000000e+00    1.87885210e-05    0.00000000e+00    1.94743356e-05    0.00000000e+00    1.25988423e-05    3.07449216e-04    9.99993602e-01    6.85895106e-06    1.61451805e-05    9.99996437e-01    3.44003544e-05    8.10631655e-06    3.19602238e-04    9.99990956e-01    3.14305790e-06    9.99992574e-01    7.91707220e-04    9.99993520e-01    0.00000000e+00    1.00033071e-05    1.51088760e-05
30       3.00000000e-10    0.00000000e+00    5.06133924e-05    9.99999272e-01    1.00000000e+00    9.99997645e-01    1.18345358e-05    1.00000000e+00    9.99997374e-01    1.19229393e-05    6.26521757e-06    7.54793677e-06    1.78132278e-05    5.90716855e-06    0.00000000e+00    1.86066660e-05    0.00000000e+00    1.87202396e-05    0.00000000e+00    1.94034047e-05    0.00000000e+00    1.24956403e-05    3.17976335e-04    9.99993599e-01    6.87811949e-06    1.61389733e-05    9.99996437e-01    3.43978632e-05    8.10600596e-06    3.30530706e-04    9.99990956e-01    3.14327106e-06    9.99992574e-01    8.18925490e-04    9.99993520e-01    0.00000000e+00    9.82429392e-06    1.51088934e-05
31       3.10000000e-10    0.00000000e+00    4.97910824e-05    9.99998244e-01    1.00000000e+00    9.99997600e-01    1.15658142e-05    1.00000000e+00    9.99997368e-01    1.18869972e-05    6.09796044e-06    7.50617889e-06    1.78129968e-05    5.90714142e-06    0.00000000e+00    1.85408466e-05    0.00000000e+00    1.86519582e-05    0.00000000e+00    1.93324737e-05    0.00000000e+00    1.23924384e-05    3.28503455e-04    9.99993596e-01    6.89728793e-06    1.61327661e-05    9.99996436e-01    3.43953720e-05    8.10569536e-06    3.41459175e-04    9.99990956e-01    3.14348422e-06    9.99992574e-01    8.46143760e-04    9.99993520e-01    0.00000000e+00    9.64528074e-06    1.51089107e-05
