Index        {U}              V(V1)             V(V2)      
158     -5.52000000e-01    8.60988953e-01    5.52868885e-01
159     -5.51000000e-01    8.61945144e-01    5.51898387e-01
160     -5.50000000e-01    8.62899870e-01    5.50928829e-01
161     -5.49000000e-01    8.63853088e-01    5.49960238e-01
162     -5.48000000e-01    8.64804755e-01    5.48992641e-01
163     -5.47000000e-01    8.65754823e-01    5.48026066e-01
164     -5.46000000e-01    8.66703245e-01    5.47060542e-01
165     -5.45000000e-01    8.67649975e-01    5.46096098e-01
166     -5.44000000e-01    8.68594963e-01    5.45132765e-01
167     -5.43000000e-01    8.69538159e-01    5.44170572e-01
168     -5.42000000e-01    8.70479511e-01    5.43209551e-01
169     -5.41000000e-01    8.71418967e-01    5.42249735e-01
170     -5.40000000e-01    8.72356474e-01    5.41291154e-01
171     -5.39000000e-01    8.73291978e-01    5.40333843e-01
172     -5.38000000e-01    8.74225421e-01    5.39377835e-01
173     -5.37000000e-01    8.75156747e-01    5.38423164e-01
174     -5.36000000e-01    8.76085899e-01    5.37469867e-01
175     -5.35000000e-01    8.77012817e-01    5.36517977e-01
176     -5.34000000e-01    8.77937441e-01    5.35567532e-01
177     -5.33000000e-01    8.78859708e-01    5.34618568e-01
178     -5.32000000e-01    8.79779557e-01    5.33671123e-01
179     -5.31000000e-01    8.80696924e-01    5.32725235e-01
180     -5.30000000e-01    8.81611743e-01    5.31780943e-01
181     -5.29000000e-01    8.82523949e-01    5.30838286e-01
182     -5.28000000e-01    8.83433474e-01    5.29897303e-01
183     -5.27000000e-01    8.84340250e-01    5.28958037e-01
184     -5.26000000e-01    8.85244208e-01    5.28020526e-01
185     -5.25000000e-01    8.86145277e-01    5.27084814e-01
186     -5.24000000e-01    8.87043385e-01    5.26150941e-01
187     -5.23000000e-01    8.87938460e-01    5.25218952e-01
188     -5.22000000e-01    8.88830428e-01    5.24288888e-01
189     -5.21000000e-01    8.89719215e-01    5.23360794e-01
190     -5.20000000e-01    8.90604744e-01    5.22434713e-01
191     -5.19000000e-01    8.91486940e-01    5.21510691e-01
192     -5.18000000e-01    8.92365723e-01    5.20588773e-01
193     -5.17000000e-01    8.93241017e-01    5.19669003e-01
194     -5.16000000e-01    8.94112741e-01    5.18751427e-01
195     -5.15000000e-01    8.94980815e-01    5.17836093e-01
196     -5.14000000e-01    8.95845159e-01    5.16923047e-01
197     -5.13000000e-01    8.96705690e-01    5.16012334e-01
198     -5.12000000e-01    8.97562326e-01    5.15104004e-01
199     -5.11000000e-01    8.98414983e-01    5.14198103e-01
200     -5.10000000e-01    8.99263578e-01    5.13294679e-01
201     -5.09000000e-01    9.00108027e-01    5.12393781e-01
202     -5.08000000e-01    9.00948243e-01    5.11495456e-01
203     -5.07000000e-01    9.01784143e-01    5.10599754e-01
204     -5.06000000e-01    9.02615639e-01    5.09706722e-01
205     -5.05000000e-01    9.03442645e-01    5.08816410e-01
206     -5.04000000e-01    9.04265075e-01    5.07928867e-01
207     -5.03000000e-01    9.05082842e-01    5.07044142e-01
208     -5.02000000e-01    9.05895858e-01    5.06162284e-01
209     -5.01000000e-01    9.06704036e-01    5.05283342e-01
210     -5.00000000e-01    9.07507290e-01    5.04407366e-01
211     -4.99000000e-01    9.08305530e-01    5.03534405e-01
212     -4.98000000e-01    9.09098670e-01    5.02664508e-01
213     -4.97000000e-01    9.09886623e-01    5.01797724e-01
214     -4.96000000e-01    9.10669300e-01    5.00934102e-01
215     -4.95000000e-01    9.11446616e-01    5.00073692e-01
216     -4.94000000e-01    9.12218484e-01    4.99216542e-01
217     -4.93000000e-01    9.12984816e-01    4.98362702e-01
218     -4.92000000e-01    9.13745528e-01    4.97512219e-01
219     -4.91000000e-01    9.14500534e-01    4.96665142e-01
220     -4.90000000e-01    9.15249749e-01    4.95821521e-01
221     -4.89000000e-01    9.15993088e-01    4.94981401e-01
222     -4.88000000e-01    9.16730469e-01    4.94144833e-01
223     -4.87000000e-01    9.17461808e-01    4.93311862e-01
224     -4.86000000e-01    9.18187024e-01    4.92482537e-01
225     -4.85000000e-01    9.18906034e-01    4.91656904e-01
226     -4.84000000e-01    9.19618760e-01    4.90835011e-01
227     -4.83000000e-01    9.20325122e-01    4.90016903e-01
